age	rent	own
15	0.0641773628938	0.0151386702192
16	0.0350058343057	0.0393605425699
17	0.0991831971995	0.0635824149207
18	0.262543757293	0.0666101489645
19	0.536756126021	0.130192563885
20	0.962660443407	0.124137095798
21	1.40023337223	0.193774978806
22	1.70945157526	0.233135521376
23	2.252042007	0.360300351217
24	2.40373395566	0.399660893787
25	2.7829638273	0.563158532155
26	3.00466744457	0.687295627952
27	2.91715285881	0.762988979048
28	2.9463243874	1.06879011748
29	2.47957992999	1.09301198983
30	2.89381563594	1.19595494732
31	2.82380396733	1.29284243672
32	2.75379229872	1.4987283517
33	2.74212368728	1.68644786242
34	2.66044340723	1.64405958581
35	2.80046674446	1.7470025433
36	2.65460910152	1.65011505389
37	2.26371061844	1.76214121352
38	2.30455075846	1.94380525615
39	2.04784130688	1.78333535182
40	2.28121353559	1.99527673489
41	2.1528588098	2.01949860724
42	1.96032672112	2.17694077752
43	2.05950991832	2.29502240523
44	1.8203033839	2.37979895846
45	1.87864644107	2.22841225627
46	1.78529754959	2.30713334141
47	1.65110851809	2.17088530943
48	1.60443407235	2.34043841589
49	1.55192532089	2.33741068185
50	1.66277712952	2.47063097977
51	1.56359393232	2.21327358605
52	1.5577596266	2.44943684147
53	1.47024504084	2.27685600097
54	1.36522753792	2.44035363934
55	1.54609101517	2.06794235194
56	1.3243873979	2.25868959671
57	1.31855309218	2.29199467119
58	1.21936989498	2.14666343708
59	1.16686114352	2.07097008599
60	1.09684947491	2.10730289451
61	0.851808634772	1.91050018166
62	1.11435239207	1.8923337774
63	0.968494749125	1.91655564975
64	1.06767794632	1.70461426668
65	0.840140023337	1.71369746881
66	0.810968494749	1.67433692624
67	0.915985997666	1.75911347947
68	0.688448074679	1.3049533729
69	0.624270711785	1.2777037665
70	0.682613768961	1.25953736224
71	0.548424737456	1.14751120262
72	0.571761960327	1.1535666707
73	0.420070011669	1.02337410682
74	0.443407234539	0.99309676638
75	0.472578763127	0.929514351459
76	0.431738623104	0.841710064188
77	0.338389731622	0.878042872714
78	0.396732788798	0.8356545961
79	0.408401400233	0.775099915223